"cnes","codmunocor","ano","qtd_leitos","tipo","municipio","uf","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","total_internacoes","internacoes_motivo_aborto","internacoes_motivo_parto","internacoes_motivo_intercorrencia_puerperio","internacoes_motivo_intercorrencia_gravidez","internacoes_tipo_de_alta_alta","internacoes_tipo_de_alta_permanencia","internacoes_tipo_de_alta_transferencia","internacoes_tipo_de_alta_morte","internacoes_tipo_de_alta_administrativa","internacoes_amiu","internacoes_curetagem","internacoes_aborto_legal","internacoes_parto_acompanhante"
94,260290,2018,"menos_50","publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",1185,178,991,14,2,1185,0,0,0,0,0,175,0,698
94,260290,2019,"menos_50","publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",1206,144,1039,15,8,1206,0,0,0,0,0,144,0,820
94,260290,2020,"menos_50","publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",1089,127,950,11,1,1089,0,0,0,0,0,126,0,691
94,260290,2021,"menos_50","publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",1168,105,1047,10,6,1166,0,2,0,0,0,105,0,747
94,260290,2022,"menos_50","publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",978,124,847,3,4,976,1,1,0,0,0,123,0,638
94,260290,2023,"menos_50","publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",875,113,743,14,5,875,0,0,0,0,0,111,0,572
183,260290,2018,"50_mais","privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,260290,2019,"50_mais","privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,260290,2020,"50_mais","privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,260290,2021,"50_mais","privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
