"cnes","codmunocor","ano","qtd_leitos","tipo","municipio","uf","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","total_internacoes","internacoes_motivo_aborto","internacoes_motivo_parto","internacoes_motivo_intercorrencia_gravidez","internacoes_motivo_intercorrencia_puerperio","internacoes_tipo_de_alta_alta","internacoes_tipo_de_alta_permanencia","internacoes_tipo_de_alta_transferencia","internacoes_tipo_de_alta_morte","internacoes_tipo_de_alta_administrativa","internacoes_amiu","internacoes_curetagem","internacoes_parto_acompanhante","internacoes_aborto_legal"
94,260290,2018,"menos_50","publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",1185,178,991,17,15,1185,0,0,0,0,0,176,0,0
94,260290,2019,"menos_50","publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",1206,144,1039,23,15,1206,0,0,0,0,0,146,0,0
94,260290,2020,"menos_50","publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",1089,127,950,12,11,1089,0,0,0,0,0,130,0,0
94,260290,2021,"menos_50","publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",1168,105,1047,16,10,1166,0,2,0,0,0,107,0,0
94,260290,2022,"menos_50","publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",978,124,847,7,3,976,1,1,0,0,0,125,0,0
94,260290,2023,"menos_50","publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",875,113,743,19,14,875,0,0,0,0,0,113,0,0
183,260290,2018,"50_mais","privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,260290,2019,"50_mais","privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,260290,2020,"50_mais","privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,260290,2021,"50_mais","privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,260290,2022,"50_mais","privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,260290,2023,"50_mais","privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,260290,2018,"menos_50","privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
