"cnes","codmunocor","ano","tipo","municipio","uf","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","obitos_maternos_totais","obitos_maternos_diretos","obitos_maternos_aborto","obitos_maternos_hipertensao","obitos_maternos_hemorragia","obitos_maternos_infec_puerperal"
94,260290,2018,"publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
94,260290,2019,"publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
94,260290,2020,"publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
94,260290,2021,"publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
94,260290,2022,"publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
94,260290,2023,"publico","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
183,260290,2018,"privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",1,1,0,0,0,0
183,260290,2019,"privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
183,260290,2020,"privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
183,260290,2021,"privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
183,260290,2022,"privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
183,260290,2023,"privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
221,260290,2018,"privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
221,260290,2019,"privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
221,260290,2020,"privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
221,260290,2021,"privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
221,260290,2022,"privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
221,260290,2023,"privado","Cabo de Santo Agostinho","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
396,261160,2018,"publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",1,0,0,0,0,0
396,261160,2019,"publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
396,261160,2020,"publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",2,1,0,0,0,0
396,261160,2021,"misto","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",1,1,0,0,0,0
396,261160,2022,"misto","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
396,261160,2023,"misto","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",1,0,0,0,0,0
418,261160,2018,"publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3,1,0,1,0,0
