bloco,bloco_por_extenso,sub_bloco,sub_bloco_por_extenso,indicador_principal,sub_indicador,label_input_categoria,categoria_sub_indicador,nome_abreviado_indicador,nome_abreviado_sub_indicador,fonte,calculo_por_extenso_indicador_principal,calculo_por_extenso_sub_indicador,nome_numerador,nome_denominador,calculo,numerador,denominador,tipo_do_indicador,tem_referencia,nome_referencia,valor_referencia,tem_incompletude,texto_incompletude,variaveis_incompletude,valores_invalidos,calculo_incompletude
perfil_sociodemografico,Perfil sociodemográfico das mulheres atendidas,internacoes_parto,Internações por parto,Porcentagem de nascidos vivos por idade da mãe,Porcentagem de nascidos vivos de mães com 10 a 14 anos de idade,Idade da mãe,10 a 14 anos,porc_nvm_idade,porc_nvm_idade_10_a_14_anos,SINASC,"Total de nascidos vivos de mães em cada faixa etária, dividido pelo total de nascidos vivos e multiplicado por 100","Total de nascidos vivos de mães com 10 a 14 anos de idade, dividido pelo total de nascidos vivos e multiplicado por 100",Total de nascidos vivos de mães com 10 a 14 anos de idade,Total de nascidos vivos,"round(sum(nvm_idade_10_a_14_anos) / sum(total_de_nascidos_vivos) * 100, 1)",sum(nvm_idade_10_a_14_anos),sum(total_de_nascidos_vivos),porcentagem,FALSE,,,TRUE,,IDADEMAE,NA e 99,"round(sum(idademae_sinasc_incompletos) / sum(total_de_nascidos_vivos) * 100, 1)"
perfil_sociodemografico,Perfil sociodemográfico das mulheres atendidas,internacoes_parto,Internações por parto,Porcentagem de nascidos vivos por idade da mãe,Porcentagem de nascidos vivos de mães com 15 a 19 anos de idade,Idade da mãe,15 a 19 anos,porc_nvm_idade,porc_nvm_idade_15_a_19_anos,SINASC,"Total de nascidos vivos de mães em cada faixa etária, dividido pelo total de nascidos vivos e multiplicado por 100","Total de nascidos vivos de mães com 15 a 19 anos de idade, dividido pelo total de nascidos vivos e multiplicado por 100",Total de nascidos vivos de mães com 15 a 19 anos de idade,Total de nascidos vivos,"round(sum(nvm_idade_15_a_19_anos) / sum(total_de_nascidos_vivos) * 100, 1)",sum(nvm_idade_15_a_19_anos),sum(total_de_nascidos_vivos),porcentagem,FALSE,,,TRUE,,IDADEMAE,NA e 99,"round(sum(idademae_sinasc_incompletos) / sum(total_de_nascidos_vivos) * 100, 1)"
perfil_sociodemografico,Perfil sociodemográfico das mulheres atendidas,internacoes_parto,Internações por parto,Porcentagem de nascidos vivos por idade da mãe,Porcentagem de nascidos vivos de mães com 20 a 34 anos de idade,Idade da mãe,20 a 34 anos,porc_nvm_idade,porc_nvm_idade_20_a_34_anos,SINASC,"Total de nascidos vivos de mães em cada faixa etária, dividido pelo total de nascidos vivos e multiplicado por 100","Total de nascidos vivos de mães com 20 a 34 anos de idade, dividido pelo total de nascidos vivos e multiplicado por 100",Total de nascidos vivos de mães com 20 a 34 anos de idade,Total de nascidos vivos,"round(sum(nvm_idade_20_a_34_anos) / sum(total_de_nascidos_vivos) * 100, 1)",sum(nvm_idade_20_a_34_anos),sum(total_de_nascidos_vivos),porcentagem,FALSE,,,TRUE,,IDADEMAE,NA e 99,"round(sum(idademae_sinasc_incompletos) / sum(total_de_nascidos_vivos) * 100, 1)"
perfil_sociodemografico,Perfil sociodemográfico das mulheres atendidas,internacoes_parto,Internações por parto,Porcentagem de nascidos vivos por idade da mãe,Porcentagem de nascidos vivos de mães com 35 a 39 anos de idade,Idade da mãe,35 a 39 anos,porc_nvm_idade,porc_nvm_idade_35_a_39_anos,SINASC,"Total de nascidos vivos de mães em cada faixa etária, dividido pelo total de nascidos vivos e multiplicado por 100","Total de nascidos vivos de mães com 35 a 39 anos de idade, dividido pelo total de nascidos vivos e multiplicado por 100",Total de nascidos vivos de mães com 35 a 39 anos de idade,Total de nascidos vivos,"round(sum(nvm_idade_35_a_39_anos) / sum(total_de_nascidos_vivos) * 100, 1)",sum(nvm_idade_35_a_39_anos),sum(total_de_nascidos_vivos),porcentagem,FALSE,,,TRUE,,IDADEMAE,NA e 99,"round(sum(idademae_sinasc_incompletos) / sum(total_de_nascidos_vivos) * 100, 1)"
perfil_sociodemografico,Perfil sociodemográfico das mulheres atendidas,internacoes_parto,Internações por parto,Porcentagem de nascidos vivos por idade da mãe,Porcentagem de nascidos vivos de mães com 40 anos de idade ou mais,Idade da mãe,40 anos ou mais,porc_nvm_idade,porc_nvm_idade_40_mais_anos,SINASC,"Total de nascidos vivos de mães em cada faixa etária, dividido pelo total de nascidos vivos e multiplicado por 100","Total de nascidos vivos de mães com 40 anos de idade ou mais, dividido pelo total de nascidos vivos e multiplicado por 100",Total de nascidos vivos de mães com 40 anos de idade ou mais,Total de nascidos vivos,"round(sum(nvm_idade_40_mais_anos) / sum(total_de_nascidos_vivos) * 100, 1)",sum(nvm_idade_40_mais_anos),sum(total_de_nascidos_vivos),porcentagem,FALSE,,,TRUE,,IDADEMAE,NA e 99,"round(sum(idademae_sinasc_incompletos) / sum(total_de_nascidos_vivos) * 100, 1)"
perfil_sociodemografico,Perfil sociodemográfico das mulheres atendidas,internacoes_parto,Internações por parto,Porcentagem de nascidos vivos por raça/cor da mãe,Porcentagem de nascidos vivos de mães de raça/cor amarela,Raça/cor da mãe,Amarela,porc_nvm_racacor,porc_nvm_racacor_amarela,SINASC,"Total de nascidos vivos de mães de cada raça/cor, dividido pelo total de nascidos vivos e multiplicado por 100","Total de nascidos vivos de mães de raça/cor amarela, dividido pelo total de nascidos vivos e multiplicado por 100",Total de nascidos vivos de mães de raça/cor amarela,Total de nascidos vivos,"round(sum(nvm_racacor_amarela) / sum(total_de_nascidos_vivos) * 100, 1)",sum(nvm_racacor_amarela),sum(total_de_nascidos_vivos),porcentagem,FALSE,,,TRUE,,RACACORMAE,NA,"round(sum(racacormae_sinasc_incompletos) / sum(total_de_nascidos_vivos) * 100, 1)"
perfil_sociodemografico,Perfil sociodemográfico das mulheres atendidas,internacoes_parto,Internações por parto,Porcentagem de nascidos vivos por raça/cor da mãe,Porcentagem de nascidos vivos de mães de raça/cor branca,Raça/cor da mãe,Branca,porc_nvm_racacor,porc_nvm_racacor_branca,SINASC,"Total de nascidos vivos de mães de cada raça/cor, dividido pelo total de nascidos vivos e multiplicado por 100","Total de nascidos vivos de mães de raça/cor branca, dividido pelo total de nascidos vivos e multiplicado por 100",Total de nascidos vivos de mães de raça/cor branca,Total de nascidos vivos,"round(sum(nvm_racacor_branca) / sum(total_de_nascidos_vivos) * 100, 1)",sum(nvm_racacor_branca),sum(total_de_nascidos_vivos),porcentagem,FALSE,,,TRUE,,RACACORMAE,NA,"round(sum(racacormae_sinasc_incompletos) / sum(total_de_nascidos_vivos) * 100, 1)"
perfil_sociodemografico,Perfil sociodemográfico das mulheres atendidas,internacoes_parto,Internações por parto,Porcentagem de nascidos vivos por raça/cor da mãe,Porcentagem de nascidos vivos de mães de raça/cor indígena,Raça/cor da mãe,Indígena,porc_nvm_racacor,porc_nvm_racacor_indigena,SINASC,"Total de nascidos vivos de mães de cada raça/cor, dividido pelo total de nascidos vivos e multiplicado por 100","Total de nascidos vivos de mães de raça/cor indígena, dividido pelo total de nascidos vivos e multiplicado por 100",Total de nascidos vivos de mães de raça/cor indígena,Total de nascidos vivos,"round(sum(nvm_racacor_indigena) / sum(total_de_nascidos_vivos) * 100, 1)",sum(nvm_racacor_indigena),sum(total_de_nascidos_vivos),porcentagem,FALSE,,,TRUE,,RACACORMAE,NA,"round(sum(racacormae_sinasc_incompletos) / sum(total_de_nascidos_vivos) * 100, 1)"
perfil_sociodemografico,Perfil sociodemográfico das mulheres atendidas,internacoes_parto,Internações por parto,Porcentagem de nascidos vivos por raça/cor da mãe,Porcentagem de nascidos vivos de mães de raça/cor parda,Raça/cor da mãe,Parda,porc_nvm_racacor,porc_nvm_racacor_parda,SINASC,"Total de nascidos vivos de mães de cada raça/cor, dividido pelo total de nascidos vivos e multiplicado por 100","Total de nascidos vivos de mães de raça/cor parda, dividido pelo total de nascidos vivos e multiplicado por 100",Total de nascidos vivos de mães de raça/cor parda,Total de nascidos vivos,"round(sum(nvm_racacor_parda) / sum(total_de_nascidos_vivos) * 100, 1)",sum(nvm_racacor_parda),sum(total_de_nascidos_vivos),porcentagem,FALSE,,,TRUE,,RACACORMAE,NA,"round(sum(racacormae_sinasc_incompletos) / sum(total_de_nascidos_vivos) * 100, 1)"
perfil_sociodemografico,Perfil sociodemográfico das mulheres atendidas,internacoes_parto,Internações por parto,Porcentagem de nascidos vivos por raça/cor da mãe,Porcentagem de nascidos vivos de mães de raça/cor preta,Raça/cor da mãe,Preta,porc_nvm_racacor,porc_nvm_racacor_preta,SINASC,"Total de nascidos vivos de mães de cada raça/cor, dividido pelo total de nascidos vivos e multiplicado por 100","Total de nascidos vivos de mães de raça/cor preta, dividido pelo total de nascidos vivos e multiplicado por 100",Total de nascidos vivos de mães de raça/cor preta,Total de nascidos vivos,"round(sum(nvm_racacor_preta) / sum(total_de_nascidos_vivos) * 100, 1)",sum(nvm_racacor_preta),sum(total_de_nascidos_vivos),porcentagem,FALSE,,,TRUE,,RACACORMAE,NA,"round(sum(racacormae_sinasc_incompletos) / sum(total_de_nascidos_vivos) * 100, 1)"
perfil_sociodemografico,Perfil sociodemográfico das mulheres atendidas,internacoes_parto,Internações por parto,Porcentagem de nascidos vivos por escolaridade da mãe,Porcentagem de nascidos vivos de mães com menos de 4 anos de estudo,Escolaridade da mãe,Menos de 4 anos de estudo,porc_nvm_escolaridade,porc_nvm_escolaridade_3_menos_anos,SINASC,"Total de nascidos vivos de mães com cada escolaridade, dividido pelo total de nascidos vivos e multiplicado por 100","Total de nascidos vivos de mães com até 3 anos de estudo, dividido pelo total de nascidos vivos e multiplicado por 100",Total de nascidos vivos de mães com até 3 anos de estudo,Total de nascidos vivos,"round(sum(nvm_escolaridade_3_menos_anos) / sum(total_de_nascidos_vivos) * 100, 1)",sum(nvm_escolaridade_3_menos_anos),sum(total_de_nascidos_vivos),porcentagem,FALSE,,,TRUE,,ESCMAE,NA e 9,"round(sum(escmae_sinasc_incompletos) / sum(total_de_nascidos_vivos) * 100, 1)"
perfil_sociodemografico,Perfil sociodemográfico das mulheres atendidas,internacoes_parto,Internações por parto,Porcentagem de nascidos vivos por escolaridade da mãe,Porcentagem de nascidos vivos de mães com 4 a 7 anos de estudo,Escolaridade da mãe,4 a 7 anos de estudo,porc_nvm_escolaridade,porc_nvm_escolaridade_4_a_7_anos,SINASC,"Total de nascidos vivos de mães com cada escolaridade, dividido pelo total de nascidos vivos e multiplicado por 100","Total de nascidos vivos de mães com 4 a 7 anos de estudo, dividido pelo total de nascidos vivos e multiplicado por 100",Total de nascidos vivos de mães com 4 a 7 anos de estudo,Total de nascidos vivos,"round(sum(nvm_escolaridade_4_a_7_anos) / sum(total_de_nascidos_vivos) * 100, 1)",sum(nvm_escolaridade_4_a_7_anos),sum(total_de_nascidos_vivos),porcentagem,FALSE,,,TRUE,,ESCMAE,NA e 9,"round(sum(escmae_sinasc_incompletos) / sum(total_de_nascidos_vivos) * 100, 1)"
perfil_sociodemografico,Perfil sociodemográfico das mulheres atendidas,internacoes_parto,Internações por parto,Porcentagem de nascidos vivos por escolaridade da mãe,Porcentagem de nascidos vivos de mães com 8 a 11 anos de estudo,Escolaridade da mãe,8 a 11 anos de estudo,porc_nvm_escolaridade,porc_nvm_escolaridade_8_a_11_anos,SINASC,"Total de nascidos vivos de mães com cada escolaridade, dividido pelo total de nascidos vivos e multiplicado por 100","Total de nascidos vivos de mães com 8 a 11 anos de estudo, dividido pelo total de nascidos vivos e multiplicado por 100",Total de nascidos vivos de mães com 8 a 11 anos de estudo,Total de nascidos vivos,"round(sum(nvm_escolaridade_8_a_11_anos) / sum(total_de_nascidos_vivos) * 100, 1)",sum(nvm_escolaridade_8_a_11_anos),sum(total_de_nascidos_vivos),porcentagem,FALSE,,,TRUE,,ESCMAE,NA e 9,"round(sum(escmae_sinasc_incompletos) / sum(total_de_nascidos_vivos) * 100, 1)"
